OBJECTID_12_13 *,Shape *,num,name,loc1,loc2,lat,long,EMD_CD,1월 합계,2월 합계,3월 합계,4월 합계,5월 합계,6월 합계
75,Point,213,KT앞,영등포구,서울특별시 영등포구 여의대로 38,37.521908,126.918953,11560110,943,1097,2631,4587,5255,3576
76,Point,214,금융감독원 앞,영등포구,서울특별시 영등포구 여의대로 38,37.523022,126.920837,11560110,411,413,596,1088,1294,1181
77,Point,215,여의도고교 앞,영등포구,서울특별시 영등포구 국제금융로7길 37,37.524837,126.934906,11560110,627,484,785,1164,1666,1491
78,Point,217,NH농협은행 앞,영등포구,서울특별시 영등포구 국제금융로8길 2,37.522079,126.930367,11560110,311,322,541,836,996,802
79,Point,219,롯데캐슬엠파이어 옆,영등포구,서울특별시 영등포구 의사당대로 127,37.520695,126.925835,11560110,874,881,1584,2736,3484,3241
80,Point,220,미성아파트 A동 앞,영등포구,서울특별시 영등포구 의사당대로 110,37.519363,126.926048,11560110,452,447,754,1035,1312,1012
81,Point,221,여의도초교 앞,영등포구,서울특별시 영등포구 여의대방로 439,37.522675,126.93779,11560110,333,294,462,632,700,634
82,Point,222,시범아파트버스정류장 옆,영등포구,서울특별시 영등포구 63로 45,37.519436,126.937599,11560110,370,389,677,1093,1230,963
83,Point,223,진주아파트상가 앞,영등포구,서울특별시 영등포구 국제금융로 108-6,37.519314,126.933166,11560110,373,373,872,1335,1747,1657
84,Point,224,롯데캐슬 앞,영등포구,서울특별시 영등포구 국제금융로 86,37.520088,126.932365,11560110,106,86,166,246,195,171
85,Point,225,앙카라공원 앞,영등포구,서울특별시 영등포구 의사당대로 지하166,37.517368,126.929253,11560110,655,629,1125,3426,2500,1993
86,Point,226,샛강역 1번출구 앞,영등포구,서울특별시 영등포구 의사당대로 지하166,37.517765,126.928413,11560110,1697,1825,3392,6371,6808,5171
87,Point,227,양평2나들목 보행통로 입구,영등포구,서울특별시 영등포구 양화동 17-4,37.544666,126.888359,11560131,945,863,1538,2527,2762,2279
88,Point,228,선유도역 3번출구 앞,영등포구,서울특별시 영등포구 양평동4가 202-1,37.53846,126.894508,11560128,564,600,1069,1860,2252,1724
89,Point,229,양평1 보행육교 앞,영등포구,서울특별시 영등포구 양평동4가 20-4,37.535873,126.892181,11560129,595,704,1614,3321,3432,2447
90,Point,230,영등포구청역 1번출구,영등포구,서울특별시 영등포구 당산로 111-2,37.524635,126.896217,11560113,1219,1244,2057,3448,3771,2824
91,Point,231,남부고용노동지청 남측,영등포구,서울특별시 영등포구 양평동1가 115-2,37.524506,126.891823,11560125,2860,3636,9380,20272,21516,13574
92,Point,232,양평우림 이비즈센타 앞,영등포구,서울특별시 영등포구 양평동3가 14-1,37.52565,126.887817,11560127,777,751,1583,3238,3666,3191
93,Point,233,양평1동 YP센터 앞,영등포구,서울특별시 영등포구 양평동3가 60-1,37.528488,126.891647,11560127,1814,1573,1578,0,0,0
94,Point,234,영등포구민체육센터 앞,영등포구,서울특별시 영등포구 신길동 399 ,37.500462,126.905846,11560132,791,717,819,0,0,0
95,Point,235,신길동 우리은행 옆,영등포구,서울특별시 영등포구 신길동 250-4 ,37.504566,126.910233,11560132,973,885,1696,3354,3983,3360
96,Point,236,문래동자이아파트 앞,영등포구,서울특별시 영등포구 문래동3가 68-1,37.516155,126.894615,11560121,822,815,1420,2610,2727,2100
97,Point,237,보라매 두산위브 건너편,동작구,서울특별시 영등포구 신길동 4490 ,37.496513,126.914803,11560132,295,329,1031,2868,2994,2252
98,Point,238,제2구민체육센타 앞,영등포구,서울특별시 영등포구 당산동4가 96-2,37.526386,126.902756,11560114,1272,1149,2272,3353,3935,3178
99,Point,239,유스호스텔 앞,영등포구,서울특별시 영등포구 영등포동7가 58-2,37.525852,126.903282,11560108,652,689,1482,3639,3819,2827
100,Point,240,문래역 4번출구 앞,영등포구,서울특별시 영등포구 문래동3가 55-12 ,37.518738,126.895577,11560121,665,583,1280,2341,2411,1878
101,Point,241,신길우성1차아파트 앞 공원,영등포구,서울특별시 영등포구 도림동 255-2 ,37.505016,126.898537,11560118,612,669,1437,2897,2725,1984
102,Point,244,영등포삼환아파트 앞,영등포구,서울특별시 영등포구 영등포동8가 82-4 ,37.530079,126.905708,11560109,1232,1059,1837,2910,3496,3021
103,Point,247,당산역 10번출구 앞,영등포구,서울특별시 영등포구 당산동5가 14-4,37.533688,126.902107,11560115,449,453,872,1331,1588,1355
104,Point,248,초원아파트 앞,영등포구,서울특별시 영등포구 여의도동8-13,37.531055,126.92421,11560110,897,857,1711,2872,3118,2662
105,Point,249,여의도중학교 옆,영등포구,서울특별시 영등포구 여의도동 8,37.524349,126.936119,11560110,747,650,1182,2321,2550,2396
106,Point,250,대림아파트 사거리,영등포구,서울특별시 영등포구 신길동 249,37.507641,126.92308,11560132,696,649,1284,2342,2699,2925
107,Point,251,서울지방병무청 버스정류장,영등포구,서울특별시 영등포구 신길동853,37.504494,126.921951,11560132,742,793,1837,3667,3989,3217
108,Point,252,보라매역4번출구,영등포구,서울특별시 영등포구 신길동4884,37.499828,126.919945,11560132,1291,1216,2762,5240,6028,4843
109,Point,253,신풍역 5번출구 인근,영등포구,서울특별시 영등포구 신길동3596,37.500648,126.909515,11560132,831,860,1794,3654,4154,3129
110,Point,254,도림신협 앞,영등포구,서울특별시 영등포구 신길동263-76,37.503803,126.903419,11560132,3073,2868,4475,6421,8535,7722
111,Point,255,도림사거리,영등포구,서울특별시 영등포구 신길동373-1,37.506573,126.901131,11560118,711,649,1112,1644,2188,2076
112,Point,256,동아에코빌입구,영등포구,서울특별시 영등포구 도림동 159-70,37.509476,126.8993,11560118,1075,1046,1762,2858,3316,2938
113,Point,258,신길역3번출구,영등포구,서울특별시 영등포구 영등포동1가35,37.517693,126.914299,11560102,344,309,565,844,979,789
114,Point,259,대방역6번출구,영등포구,서울특별시 영등포구 신길동1368,37.513592,126.925934,11560132,576,519,895,1608,2262,2047
115,Point,260,여의도 마리나선착장 앞,영등포구,서울특별시 영등포구 여의서로 160,37.533657,126.912163,11560110,509,505,745,1051,1296,1095
116,Point,262,영문초등학교 사거리,영등포구,서울특별시 영등포구 문래로 56,37.519928,126.889183,11560124,1106,980,1747,3070,3826,3319
117,Point,263,근로자회관 사거리,영등포구,서울특별시 영등포구 선유로 34,37.517151,126.888626,11560123,733,709,1116,1751,2322,2157
118,Point,264,교보생명보험 앞,영등포구,서울특별시 영등포구 영등포로 96,37.521931,126.891617,11560112,656,571,949,1780,2555,2522
119,Point,265,영등포유통상가 사거리,영등포구,서울특별시 영등포구 영등포로 124,37.521133,126.896538,11560111,521,499,808,1391,1860,1697
120,Point,266,영등포청과시장 사거리,영등포구,서울특별시 영등포구 영등포로 177,37.520294,126.901192,11560105,1788,1501,2619,3803,4565,4157
121,Point,267,삼성화재 사옥 옆,영등포구,서울특별시 영등포구 양평로 76,37.535961,126.8983,11560128,445,409,553,1033,1351,1304
122,Point,268,그랜드컨벤션센터 앞,영등포구,서울특별시 영등포구 양평로 58,37.534718,126.900002,11560115,573,524,725,1356,1770,1491
123,Point,270,증권거래소후문교차로,영등포구,서울특별시 영등포구 여의나루로 76,37.522343,126.927101,11560110,1329,1247,2122,3241,4130,3656
124,Point,271,샛강생태공원방문자센터 앞,영등포구,서울특별시 영등포구 여의동로 48,37.518963,126.921616,11560110,903,828,1450,2221,2845,2520
125,Point,274,영등포역지하쇼핑센타 5번출구,영등포구,서울특별시 영등포구 경인로 846,37.51627,126.90686,11560101,1275,1172,2151,3317,4056,3582
126,Point,276,SK 영등포주유소,영등포구,서울특별시 영등포구 경인로112길 1,37.518284,126.912636,11560102,2817,2529,4642,8050,10237,9100
127,Point,102,망원역 1번출구 앞,마포구,서울특별시 마포구 월드컵로 72,37.555649,126.910629,11440120,392,468,1197,4652,3272,2182
128,Point,115,마스타 빌딩 앞,서대문구,서울특별시 서대문구 연희로 7,37.558933,126.927116,11410116,464,685,2207,5234,4603,2701
129,Point,122,신성기사식당 앞,마포구,서울특별시 마포구 독막로 223-1,37.547459,126.938377,11440111,314,303,358,713,1269,1061
130,Point,123,문화촌 공원,서대문구,서울특별시 서대문구 홍제동 277-23,37.59433,126.947388,11410111,414,368,664,1034,1234,961
131,Point,126,서강대 후문 옆,마포구,서울특별시 마포구 대흥로 122,37.550411,126.943848,11440108,677,732,1194,2054,2630,2264
132,Point,129,신촌역(2호선) 6번출구 옆,마포구,서울특별시 마포구 신촌로 106,37.555054,126.937569,11440110,25,0,0,0,0,0
133,Point,139,연세대 정문 건너편,서대문구,서울특별시 서대문구 연세로 42,37.559864,126.934418,11410116,675,561,840,1270,1754,1554
134,Point,144,공덕역 8번출구,마포구,서울특별시 마포구 공덕동 438-5,37.543579,126.951324,11440102,682,651,984,1597,2045,2017
135,Point,145,공덕역 5번출구,마포구,서울특별시 마포구 공덕동 237-9,37.54425,126.951637,11440102,652,566,823,1225,1615,1506
136,Point,147,마포역 4번출구 뒤,마포구,서울특별시 마포구 도화동 292-29,37.539272,126.945915,11440104,917,808,1326,2179,2685,2293
137,Point,153,성산2교 사거리,마포구,서울특별시 마포구 성산동 54-17,37.564697,126.912613,11440125,1566,1562,2567,4329,5128,4186
138,Point,163,명지전문대학교 정문 앞,서대문구,서울특별시 서대문구 홍은동 산25-3,37.583698,126.924965,11410118,243,263,646,1091,1329,917
139,Point,171,임광빌딩 앞,서대문구,미근동 317-1,37.564724,126.967277,11410104,2013,1797,3100,4790,6120,5259
140,Point,175,홍연2교옆,서대문구,서울특별시 서대문구 홍은동 387-16,37.578068,126.930885,11410118,1523,1394,2417,3784,4759,4220
141,Point,176,명지대학교 도서관,서대문구,서울특별시 서대문구 거북골로 34,37.581097,126.924026,11410120,716,728,1179,1777,2120,2020
142,Point,177,북가좌 초등학교,서대문구,서울특별시 서대문구 거북골로19길 20,37.577675,126.909805,11410119,723,670,1174,1863,2408,2146
143,Point,199,서울 월드컵 경기장,마포구,서울특별시 마포구 성산동 515,37.566845,126.896446,11440125,630,614,1022,1695,2157,1968
144,Point,202,국민일보 앞,영등포구,서울특별시 영등포구 여의공원로 101,37.528816,126.92453,11560110,622,605,1323,2440,2838,2245
145,Point,204,국회의사당역 5번출구 옆,영등포구,서울특별시 영등포구 의사당대로 8,37.528164,126.917023,11560110,981,906,1602,2860,3922,3537
146,Point,206,KBS 앞,영등포구,서울특별시 영등포구 여의공원로 13,37.524666,126.918022,11560110,460,478,824,1617,1969,1529
147,Point,242,신길선원가와인아파트 앞,영등포구,서울특별시 영등포구 신길동 215-28 ,37.510933,126.910225,11560118,192,205,520,1130,1037,781
148,Point,243,이앤씨드림타워 앞,영등포구,서울특별시 영등포구 양평동3가 48-1,37.527084,126.89138,11560127,1417,1588,4283,9351,10831,7874
149,Point,245,삼성생명 당산사옥 앞,영등포구,서울특별시 영등포구 당산동4가 35-24 ,37.528263,126.896629,11560114,1988,1958,3385,5890,8000,5110
150,Point,272,당산육갑문,영등포구,서울특별시 영등포구 당산로52길 3,37.535339,126.903679,11560116,1307,1158,1976,3140,3880,3616
151,Point,275,신동아아파트,영등포구,서울특별시 영등포구 선유서로 76,37.522221,126.885582,11560125,1185,1199,2254,3578,4110,4026
152,Point,277,영등포뉴타운지하상가 2번게이트,영등포구,서울특별시 영등포구 영중로 22,37.520119,126.905167,11560106,1075,1136,1968,3281,3817,3331
153,Point,278,쌍용플레티넘오피스텔,영등포구,서울특별시 영등포구 도영로 18,37.507931,126.895233,11560118,826,893,1332,2686,3613,2500
154,Point,279,영등포 푸르지오 아파트,영등포구,서울특별시 영등포구 도신로29길 28,37.513229,126.904465,11560101,1094,966,1661,2533,3288,2942
155,Point,280,양평동6차현대아파트 앞,영등포구,양평동 3가 80-9,37.532101,126.89444,11560127,577,534,734,1323,1522,1368
156,Point,281,신동아아파트 앞,영등포구,가마산로 311 앞 복개천 보도,37.498241,126.893982,11530102,301,256,402,753,898,877
157,Point,283,아크로타워 스퀘어(영등포시장),영등포구,영등포구 영등포동7가 3-2,37.522518,126.907219,11560108,1519,1434,2216,3386,4523,4334
158,Point,285,대림3동사거리(하나은행),영등포구,가마산로 343,37.499859,126.89724,11560133,1221,977,1615,2636,3558,2751
159,Point,286,우성아파트 교차로,영등포구,대림로 153 ,37.494572,126.89975,11560133,360,396,581,918,1115,946
160,Point,287,영등포전화국사거리 (서강어린이공원),영등포구,영등포동8가 29-1,37.525768,126.905739,11560109,552,586,945,1408,1858,1534
161,Point,288,쌍용예가(구청별관),영등포구,당산로31길 32 서측(구청별관 주변),37.528099,126.893387,11560113,1054,937,1751,2945,3447,3086
162,Point,289,대림3동사거리,영등포구,가마산로 352 커피베이 앞,37.499809,126.898003,11560133,705,574,927,1431,1761,1522
163,Point,290,당산동 SK V1 빌딩,영등포구,영등포구 당산동4가 89-1,37.531509,126.897827,11560114,565,489,898,1315,1616,1476
164,Point,291,문래동 하이테크 시티,영등포구,영등포구 문래동3가 55-21,37.513851,126.89888,11560121,946,900,1501,2240,2816,2517
165,Point,292,영일 어린이공원,영등포구,영등포구 영등포동 647-3,37.51012,126.904068,11560101,1219,1215,2052,2973,4123,3380
166,Point,293,충북 미래관,영등포구,영등포구 당산동 121-258,37.529171,126.907578,11560117,807,639,985,1392,1661,1652
167,Point,295,영등포공원 분수대 앞,영등포구,영등포구 신길로 275,37.514812,126.911705,11560101,1329,1278,2327,3868,4803,4584
168,Point,296,KT플라자 영등포점,영등포구,영등포구 영중로 119,37.526302,126.90538,11560109,146,122,236,480,715,386
169,Point,297,국회3문,영등포구,영등포구 여의동로 330,37.528637,126.912674,11560110,935,834,1559,2228,2963,2790
170,Point,298,KBS 연구동 건너편,영등포구,영등포구 여의도동 1-877,37.527508,126.914299,11560110,65,116,219,413,391,290
171,Point,299,여의도 순복음교회,영등포구,영등포구 여의도동 8,37.531792,126.922455,11560110,241,215,395,1385,981,968
172,Point,302,경복궁역 4번출구 뒤,종로구,서울특별시 종로구 사직로 지하130,37.575947,126.97406,11110107,123,205,593,1150,1193,972
173,Point,303,광화문역 1번출구 앞,종로구,서울특별시 종로구 세종대로 지하189,37.57177,126.974663,11110117,566,538,918,1315,1652,1283
174,Point,306,광화문역 7번출구 앞,종로구,서울특별시 종로구 세종대로 지하172,37.570808,126.976433,11110119,559,599,983,1716,1998,1674
175,Point,307,서울역사박물관 앞,종로구,서울특별시 종로구 새문안로 55,37.57,126.9711,11110121,971,852,1809,3211,3915,2899
176,Point,314,국립현대미술관,종로구,서울특별시 종로구 삼청로 30,37.579708,126.980858,11110142,1185,1165,1889,2891,3368,2842
177,Point,318,광교사거리 남측,중구,서울특별시 중구 청계천로 30,37.568634,126.982315,11140102,465,501,824,1370,1452,1214
178,Point,320,을지로입구역 4번출구 앞,중구,서울특별시 중구 을지로 55,37.566223,126.983589,11140105,966,825,1420,2300,2504,2218
179,Point,321,KEB 하나금융그룹 명동사옥 옆,중구,서울특별시 중구 을지로 66,37.565464,126.984139,11140105,573,452,817,1399,1713,926
180,Point,322,명동성당 앞,중구,서울특별시 중구 명동길 74,37.564476,126.986969,11140131,572,585,992,1764,2259,1742
181,Point,324,신세계백화점 본점 앞,중구,서울특별시 중구 퇴계로 77,37.561432,126.980698,11140124,526,518,1098,1937,2413,1755
182,Point,326,안국역 5번출구 앞,종로구,서울특별시 종로구 율곡로 지하62,37.576241,126.98616,11110134,1108,1123,1855,2331,2830,2512
183,Point,327,낙원상가 옆,종로구,서울특별시 종로구 삼일대로 428,37.573357,126.987465,11110137,403,361,704,1119,1275,1029
184,Point,328,탑골공원 앞,종로구,서울특별시 종로구 종로 99,37.570396,126.98819,11110138,563,576,958,1438,1855,1499
185,Point,329,청계2가 사거리 옆,종로구,서울특별시 종로구 청계천로 93,37.568485,126.987885,11110135,550,501,786,1210,1414,1235
186,Point,331,을지로2가 사거리 북측,중구,서울특별시 중구 을지로 79,37.566383,126.987206,11140105,337,359,397,549,781,653
187,Point,334,종로3가역 2번출구 뒤,종로구,서울특별시 종로구 종로 지하129,37.570599,126.991791,11110156,314,294,573,1001,1201,1100
188,Point,335,종로3가역 15번출구 앞,종로구,서울특별시 종로구 종로 지하129,37.570198,126.991257,11110156,707,722,1262,2076,2409,1917
189,Point,336,티마크 호텔 앞,중구,서울특별시 중구 충무로 15,37.561462,126.993111,11140137,799,701,1298,1749,2096,1626
190,Point,337,창경궁 입구,종로구,서울특별시 종로구 창경궁로 185,37.578979,126.996475,11110130,584,490,816,1147,1274,1018
191,Point,338,세운스퀘어 앞,종로구,서울특별시 종로구 창경궁로 109,37.570957,126.997124,11110161,618,626,1091,2168,2610,2189
192,Point,339,종로4가 사거리,종로구,서울특별시 종로구 종로 185,37.571068,126.998192,11110161,356,338,638,938,1030,921
193,Point,340,혜화동 로터리,종로구,서울특별시 종로구 창경궁로 271-1,37.585629,127.000679,11110169,414,334,683,1016,1071,866
194,Point,341,혜화역 3번출구 뒤,종로구,서울특별시 종로구 대학로 지하120,37.58157,127.001785,11110172,714,688,1231,1909,2426,1824
195,Point,342,대학로 마로니에공원,종로구,서울특별시 종로구 대학로 105,37.579784,127.002533,11110168,505,553,822,1288,1454,1194
