대여일자,가락동,거여동,마천동,문정동,방이동,삼전동,석촌동,송파동,신천동,오금동,잠실동,장지동,풍납동
"""2022-06-01""",490.68162747518795,142.2132486222208,66.44573788287363,402.6472081216359,175.46910416592434,47.87804204780411,93.95066604839359,81.32344081108914,392.9202522555825,149.53215896250418,257.06220465600177,205.1953662716747,163.92188882028438
"""2022-06-02""",610.9270416685486,38.92117781010659,36.70743357149235,386.6144074588243,957.519675403397,120.10536174197121,145.38582623387177,308.8762492833642,930.056103891729,196.69216700053818,1123.8296222081794,102.60760201594496,384.09439355207826
"""2022-06-03""",-83.52727493347669,5.779854373084262,-7.8670159807546085,49.619429971501745,149.30311850453222,0.18114023903027388,24.78180254606113,36.38621087879062,-80.3535564523662,-92.53912847468777,139.92443262957215,52.12287620810497,148.14854197798908
"""2022-06-04""",-1256.1862612905434,-92.91873199690264,-56.896841311147526,-1114.8244534458659,-1170.1880500679817,-52.88143027982058,-221.42974798570833,-287.31164274973105,-1315.4343395126423,-258.13650944617314,-1301.364069223624,-292.99819387768116,-509.7406513259925
"""2022-06-05""",-962.1317499876385,-321.41592324689054,-94.17932411547542,-619.2074534958234,-468.19751530455665,-125.5365791382035,-300.11162271774725,-410.78768490042785,-921.7667197355312,-296.8562239233066,-1310.8047598485477,-432.6408609306242,-565.0536618450237
"""2022-06-06""",892.5814756766313,54.09776906204337,-35.181426117148135,504.02074715661354,-296.5646152348065,-14.162531322331027,71.21073391041227,-10.78273893592393,139.5198104144315,51.36356017971741,-155.2049155399386,17.008850302265728,123.13048514381717
"""2022-06-07""",-216.35400486032552,65.57624759393292,44.858613501134855,-6.211604858469116,446.22081175496066,7.921670997513388,39.87935838086645,239.73634356513793,222.66630222164247,102.57951515250299,408.0634657726366,250.1520330992522,25.147382075359104
"""2022-06-08""",717.8015944121194,164.52472780299513,97.8633423294161,449.8570209882864,698.1207197073913,45.24854625267027,130.90570509593317,12.529149221112476,881.8950345411988,255.50152439294683,1020.4559799191754,214.1284434455092,239.52278840091543
"""2022-06-09""",923.6146563816745,17.615331599644115,16.92872837082484,299.50595747038034,713.7300696126888,59.13152597166627,111.64241584973593,260.52981695875536,805.9729491389053,91.95378496139422,919.03680863221,-3.5359985189362053,319.22821892945916
"""2022-06-10""",-433.55466996881665,50.52375300637103,-17.050361547151624,268.5751774000363,-344.2690226800975,21.088966364671755,112.96575762790248,7.322949779337421,-95.23575244847945,79.0909423345845,184.07552226493402,180.59192400776985,200.76027375898897
"""2022-06-11""",-1140.3997816677788,-81.81755628814224,11.430387686706403,-847.11206280894,-871.5740358518442,-52.74322166186804,-185.66290938541397,-146.80232714811416,-954.799012856173,-246.65786259631042,-1000.8765774567815,-299.97292532003917,-410.72443709770874
"""2022-06-12""",-933.9158147629817,-336.2365060219122,-126.61588081185832,-485.1751385617814,-847.9198150137161,-85.78662811137465,-221.41968088450847,-465.670720522088,-1176.6461174328495,-409.0502073590471,-1450.650730577427,-379.92677707041344,-509.78851967778655
"""2022-06-13""",1186.8579488876674,38.75693356584134,15.738809888873618,624.5992209676126,376.36067391355294,40.090104518935526,101.94546840136748,252.963406530142,845.3125474637237,268.5972285913587,490.34738717401706,156.30622971969052,319.8313217272075
"""2022-06-14""",602.145172593262,347.63422565787255,76.74426292638506,416.38814780445784,991.800328100261,126.59296978281756,160.2864493535953,361.724791025402,784.3702434474234,174.00189225174742,1091.8557336937185,435.41192827270163,322.21320379228064
"""2022-06-15""",524.7417777731879,103.7730610608786,68.0045947908049,57.068800834197134,814.679036638378,-31.630034612575486,99.7348345595431,80.96778311740107,485.77496698852235,142.90488068687273,658.2963639077213,109.47936494775556,61.21428477973183
"""2022-06-16""",-97.41271739560253,33.877941254108165,-27.603996570975276,57.53784769505495,-145.55814533546814,18.245288935487654,-56.75114039017778,-71.00046433272723,121.0163847911365,-8.402347334771399,-24.97847981179082,-120.21219114948518,172.62166757269898
"""2022-06-17""",114.88419927545961,127.13986629906667,11.401846832431232,323.6171318896986,-126.10337023972244,26.442389258123654,123.68084027319573,111.75354515845632,-115.08381946683426,183.3821424363917,-52.00429539345197,145.60654710283603,144.91011616766835
"""2022-06-18""",-2285.310138250211,-453.5371557164426,-104.72456018142873,-1484.6180366493988,-1415.3027778420587,-168.7408487172994,-295.61155013783684,-533.2478694074389,-1716.038086141045,-576.0462111020493,-1743.341419901788,-537.3381126812953,-806.8073123474257
"""2022-06-19""",908.6153326820174,-84.5532563784216,-10.4285912981737,196.35055103743838,-502.664279024488,-2.248455288859482,-178.96765754102404,-139.9355773396564,-359.62699548302976,-72.88755178494412,-703.5480119977685,-119.57059972698357,-265.0381961779302
"""2022-06-20""",745.511165290501,62.06048981237872,25.49765676649565,518.0532680713964,1102.8452971325771,38.877160800508136,180.8090921733147,344.2864505555529,1160.6507355554554,253.23021055397732,1404.3456976584825,251.22376358861294,410.3259414303111
"""2022-06-21""",587.7500886989776,157.58649453215048,48.41069780953694,223.39078755176246,205.68569932816976,89.355643794976,117.57934537741052,256.247000313687,292.07846224143367,109.15341067422807,578.7011919777733,237.42161375271192,263.3557878166837
"""2022-06-22""",-379.35823274199674,83.04009467152332,74.65444716990318,-150.59321247009075,606.4541504796957,-39.91894263998809,19.646657718235232,-107.46711991549915,287.64448685258776,61.480620859971,700.2982241041611,42.659491647001175,-97.77274799334978
"""2022-06-23""",115.60694973397665,74.83651587406953,-34.12465675236026,319.19244859503027,-161.78323163529183,15.891981368156166,48.86152369834332,31.379781496506837,333.91454777478964,89.37496470517105,-24.04341260902561,-77.9422760422487,327.5628549842047
