대여일자,구로동,당산동,당산동1가,당산동2가,당산동3가,당산동4가,당산동5가,당산동6가,대림동,도림동,문래동3가,문래동4가,문래동5가,문래동6가,신길동,양평동1가,양평동2가,양평동3가,양평동4가,양평동5가,양화동,여의도동,영등포동,영등포동1가,영등포동2가,영등포동4가,영등포동7가,영등포동8가
"""2022-06-01""",7.224803378471545,25.09290935257595,24.481262228971747,28.38425451314836,215.27454043348797,317.0810781970885,15.011446075613634,-225.82890539376749,159.29277649763029,63.55929484687812,201.81138302694774,33.46065184485535,54.68001169222255,28.056886701043354,388.3850782909784,125.4664468659494,-5.413630048613989,241.34713368308934,-46.792323014591716,99.25340908867857,-112.45686688334227,815.1706160573804,-12.485627032519744,21.543361866907937,24.5880779857045,37.829622846337664,83.51609886497732,51.28893275250374
"""2022-06-02""",-9.791975692537047,23.180092858619194,-18.671253685693486,-20.939331533769337,-197.00741776353604,-248.93600759188365,63.96006366833393,543.7586618679336,-68.91456101477081,68.98031038317154,-183.92951052495476,-20.597802697792638,-28.355957079990063,59.43581159485756,-90.01309658866472,-149.84522994498045,54.61853391643329,-200.10452249913902,214.54688138245822,-4.4876365634405815,208.07002755841393,1264.08149315155,17.33467412703932,39.526435171170746,17.78338366587524,129.51103600067682,-7.154968565927135,-12.890917753238327
"""2022-06-03""",-1.1117738475469334,25.394480591481297,-4.754964244880327,-14.219010293550745,16.991296927804854,8.557088381542485,15.629510857582545,-80.91476485693943,-41.76391825611421,-23.733518427256712,-62.368415252147,31.93600009595243,-35.70968719367767,-6.841832848979294,-108.20202598779929,87.31530573081787,19.62586553849124,-70.52897653734735,-56.166175263392205,-36.11475182085927,29.224361688622864,73.1116688089428,-100.01830340663355,-40.373622683585275,-4.955540002708723,-128.6547575830475,-55.60852725532732,-46.829762488021345
"""2022-06-04""",13.996075271211996,-23.723862266437443,-18.85579081748657,8.929550120488976,-50.87005253608214,-101.71910988371641,-2.7681217419848565,125.96584224890086,-10.03555069319495,31.855761806871172,73.8829054283714,-31.72663670970762,0.2508162504031617,-48.62199812542437,-91.34233493713953,-75.8233688270642,9.988598567561766,39.61147259248449,88.33221711898591,25.517986486816554,19.397978283816784,-72.38251615065292,129.6224602290834,-8.150006658575705,-6.273722242710065,186.11153134861698,2.735898534573579,8.074818913820309
"""2022-06-05""",-15.408808544001097,-133.08437649591806,-29.94953996814198,-49.01825870408443,-150.31455359804144,-297.1689230340177,-243.22167450182337,-544.8819153581474,-135.69697934807968,-206.85013905989615,-275.2038577516318,-62.92040322940618,-38.40576486068066,-237.96909620478812,-494.0932798994369,-51.39540081425744,-132.5539725090817,-184.43670647861842,-271.8670613234247,-214.4242254281938,-177.88432120530314,-2848.8848906997496,-199.3307395257531,-66.7871315124717,-62.8050421330274,-194.39473629112803,-141.4550230820956,-88.82706132837069
"""2022-06-06""",-13.44426682331899,20.959443544973986,48.89996895482233,26.979802778042206,147.67485548341193,199.44174644100963,54.4747803328129,81.52538643283864,-57.257983597244646,-72.17071161550427,113.39506877246032,20.423326654226486,32.41677826485389,46.08818499121218,75.08345248358523,-17.3398822065528,-38.80204271389829,85.58691763407336,-23.653137755358983,53.2359767157555,-27.977453979457202,8.833754208210621,-96.12425386137096,-31.88735798623746,4.1251448159747355,-67.59749708916785,82.1989914879743,-23.535046771409554
"""2022-06-07""",18.590920172264,41.242699313370295,-15.929457582518141,14.411110488226145,87.49875290514225,236.98768569895935,126.68830695669882,25.58931962927909,166.40858714928635,163.01034841941765,107.48609168522012,63.39625356077242,16.104383328874846,172.47905527238052,437.9930438300786,102.2652650566456,112.63825473740107,154.80134283234776,64.54031527763061,112.64738306690606,29.39800728141671,1327.2850430738638,215.25777627155526,103.42681022179272,35.841988574283896,53.37796101052675,69.60652403629987,142.5220081418891
"""2022-06-08""",15.367020921469324,76.98873977762365,34.804639521132714,42.618986211692565,105.99609127405897,138.4954307841154,109.77116318511784,134.99461879188829,128.86273893646137,53.510030163908766,138.68192614487268,-21.13918405973078,57.0568843680531,162.41268363942226,201.38999569544114,48.188690733369256,8.183840994788312,110.51735186699517,159.1789089301465,93.26324653734612,19.421763962250502,1320.0144869261176,61.27856874747752,30.20679674503282,11.83183527802506,34.251709392976494,23.240214890978095,-13.282760213975607
"""2022-06-09""",-13.702576706217421,-12.670238415777206,-12.28340208022773,-48.273634647694145,-87.2745013134238,-181.9107936826211,-74.70035920778227,129.62476275778073,-55.608724875213454,80.7898705916774,-30.28989306707814,17.89839777807687,-55.21775399052218,-46.86748786718198,20.367008807014372,-39.66537806970925,30.234009395812592,-77.7534554286209,44.428032713145654,1.5036600995351534,60.184991882651914,516.5578695717486,58.60466841906066,21.394082667459486,10.020894702403282,52.59685235154211,-8.711565135612574,30.860072731623788
"""2022-06-10""",-3.762302360574118,23.18445040518381,-25.210846177620564,-14.14259412933323,-88.9571577065052,-75.35937688525038,-34.03047961206295,124.99106246126341,-70.00950414506738,-74.80720070548674,-90.23400167419516,-18.131883961256253,-16.986162221955908,-112.99607675446575,-262.065076675612,-19.251154750214376,-10.06845969099652,-69.76570900096795,-31.68744828357768,-74.69203421933908,104.97017065652682,-204.5122374067787,-83.06000239683874,-24.042131469786632,5.723446587633191,53.796542526498655,-47.42937845864418,-34.831105606305414
