대여일자,개포동,논현동,대치동,도곡동,삼성동,세곡동,수서동,신사동,압구정동,양재동,역삼동,율현동,일원동,자곡동,청담동
"""2022-06-01""",1105.8987040308004,104.8077766407688,-29.848016827951273,96.31124215961874,789.3143616761074,6.1021124524539605,89.0606355673498,78.91018118041234,-95.61226826864137,3.93633901844791,289.5747984451788,-14.269202698575985,-3.8424949672646154,57.476607624564764,16.22585396904845
"""2022-06-02""",-244.59679853087994,-88.53743719932214,202.6222863611601,57.79297463167043,-20.4334538165686,27.858880577136237,-9.35712998790624,92.47589571669874,269.01018622682966,27.64649813766275,-76.81379483330011,37.55201793619934,99.18487960131006,37.15577900501937,113.92726480280389
"""2022-06-03""",-514.0001694414934,-140.2768478183312,-141.26103851047392,-260.3973325685764,-654.9277389895303,-15.14625196286244,-108.03764310210137,-109.8476266557125,-36.54830224131314,-20.30162152861204,-387.42876496944825,-3.0082829589334246,-56.03040678397118,-67.2056914025642,-143.22019079443461
"""2022-06-04""",-232.87973728867394,63.017731580619134,-66.83082879759,5.867097681472501,-432.108364256686,-15.62219580067374,-26.560124487622268,20.648859820843683,20.146842988783717,-50.31876521296627,-2.1432798002457503,-25.10643636202969,7.617583778941068,-42.73161077780941,3.348574597758308
"""2022-06-05""",-551.0306968930133,-36.865253741879485,-44.39121910636413,17.68296784626337,146.33681580875597,-1.2698720555486673,-15.16665381939941,-77.9944783485953,-191.62368578666798,-14.284667500824451,9.651988548207171,-22.862936277676447,-59.63568198389859,-4.219198350294139,-29.408901050259356
"""2022-06-06""",170.31462719965137,47.220455962604944,75.24078452814396,52.174982392741626,504.9382372915493,-33.96840600535952,46.46483236249351,36.81670715757278,18.27912683771772,41.46344330993388,45.42989300784016,12.75517797572349,-5.098802254773197,3.668645149901751,54.1506836579769
"""2022-06-07""",576.6120476455646,71.03769366848226,26.077598406423643,61.27208472621368,418.2455336586322,48.68407400499135,36.850999587160686,75.80450651084462,139.57695078579144,10.155621495931946,177.6041606460637,-0.9320958781605007,56.4160093286394,58.86384436259485,25.932600023688337
"""2022-06-08""",381.6651954977088,-57.03515643890126,-58.08533560862739,59.52370467322306,-233.97816153972363,0.11080736316044693,17.99079987026409,-27.621036121243947,-174.38374572503244,-3.2584218938367435,131.19119878014308,27.494497557379354,3.2324476364529566,-14.223944972893399,11.173595575394511
"""2022-06-09""",-76.128565563738,34.46019593358159,88.6039796678381,-56.34790833509648,-166.403263209604,0.05872248005682579,-3.0864928002339695,-56.18488695170384,44.04633089254355,18.742023560570075,-149.060031139167,3.2669023812109295,-3.2291098569142633,-4.171870495593499,-43.10304163718591
"""2022-06-10""",-203.83342369620735,-63.48231083381759,-73.98376096125958,-96.09635424801013,-409.52732376691273,-13.946012365524389,-83.6718086609583,10.467239544766695,22.499058087965253,-42.97170060801119,-179.76944395326518,-14.1194054634189,-13.856492406740784,1.5745896053874446,-60.738427051232804
"""2022-06-11""",-42.1287941831383,42.82257475676603,70.4573271324598,44.69576362683202,95.29429751725066,10.193054552721291,68.45597296263462,84.28753121456472,112.11734152810087,19.2032077931754,166.2548494902282,14.539207642771768,37.53309619308115,19.32533367640873,66.64884734296618
"""2022-06-12""",-525.1191978426723,-23.735307500334518,-44.63649024251136,-48.17749253145945,278.61539255486423,-10.88687123839567,-3.5106172875003736,-59.420906869057546,-48.81300777105704,3.0452548562109882,-86.30920372300221,-27.2695551511215,-64.92029423549707,-34.080309071289015,8.913383942589306
"""2022-06-13""",141.835611030601,9.447615502553894,13.980397438107794,99.32357898059647,211.57861425231184,9.693401993399686,0.25271996868303503,3.5017258011525882,49.7083215695543,-8.689087779032448,2.4969725516433385,-2.2183042322600564,16.955554742356554,3.287207770772575,-29.58301628220961
"""2022-06-14""",558.636475885713,14.173154461825089,41.803132731030615,57.46188657454441,-162.9211784241578,16.846804584102873,3.0053101097403854,11.053589755766314,-12.917039852059844,10.290596771325955,105.03948891226466,23.516458037216033,37.811003591308115,42.48661136819134,55.51012201373077
"""2022-06-15""",448.4532561231176,71.20460164361228,10.642319352364972,-21.50889264294358,194.28999834673914,-11.13813075057863,31.66414392240115,35.578724339343495,-95.54993804399484,34.418783235202056,127.81559711844889,17.461008911786024,13.379927951335858,-16.23977665444017,31.66509164655087
"""2022-06-16""",-537.0348932093808,-86.82971960140964,-32.834095555598545,-101.05674974399854,-375.53527386675387,-6.189619276572978,-58.558039926449425,-59.58156373660248,-12.889074348571825,-35.382975887814304,-151.05335787562723,-11.901979720973634,-8.416185718468283,-15.218771830022668,-67.98075415237437
"""2022-06-17""",-391.92482952146986,-41.37621761592352,-76.73645681801574,-15.005071431184119,-319.4930005590536,-24.419601226739434,0.03997106510571058,-29.47082826186564,-81.43614403853816,-10.657781690761155,-18.6008558154245,-25.136854563352415,-34.798106721806604,-4.189487601078138,-48.32274078122669
"""2022-06-18""",-69.40833883359426,81.07891523821343,76.46819470817718,26.667272624669394,514.3588228384693,16.523618010548965,38.150851453952214,76.32152841719446,165.20967856988682,15.602742816155176,-60.70403028995874,1.3833776609828092,2.8494062799191475,-2.3090410695580807,42.70550647752881
"""2022-06-19""",267.86171625973356,-1.4754727918635915,23.542920057465494,57.656596936990894,382.5604391803103,26.331992732702712,-2.479328479046309,48.815330594818406,113.38319925724456,-10.291258912106331,20.001568629641596,16.307305602541824,16.503499676881102,24.882587197948336,33.42090642087383
